"","GATA3","AR","MEK1","PDK1","Notch1","p90RSK_Caution"
"1",-0.229838,0.510898,0.255288,-0.274227,-0.427018,-0.075372
"2",-0.086983,-0.088755,0.390144,0.255956,0.407107,0.17355
"3",0.106322,0.107067,-0.337654,-0.309752,-0.459289,0.889366
"4",-0.531828,0.27635,-0.646557,0.026379,-0.203635,-0.486553
"5",-0.051034,0.593692,-0.146399,-0.206741,-0.460043,-0.443687
"6",-1.27785,0.493711,-0.491416,-0.538888,0.496667,-0.477851
"7",0.112471,-0.114874,0.096462,0.120021,1.740912,-0.648856
"8",0.189767,0.443577,0.024109,-0.371731,-0.643345,0.689682
"9",-0.163988,0.172198,-0.373346,0.024996,-0.615994,0.298746
"10",1.962426,0.020092,-0.13504,-0.244748,-0.311767,-0.544257
"11",-0.790953,-0.18679,-0.425149,-0.693697,0.783623,0.388381
"12",0.303933,0.054761,0.260254,0.259591,0.065452,0.375719
"13",0.411702,0.079614,0.115568,-0.020254,0.308771,-0.629228
"14",0.051702,0.104777,0.139333,0.095256,0.145643,0.191065
"15",3.967486,-0.222548,-0.243294,0.006749,-0.890814,-0.777751
"16",0.252594,0.212405,-0.682329,0.231918,0.08941,0.080156
"17",0.134225,0.095561,-0.067156,0.068875,0.902771,0.113962
"18",-0.214796,0.488863,0.470223,0.020001,-0.178418,-0.287655
"19",-0.39472,0.015449,0.69899,-0.135727,-0.061912,0.371716
"20",-0.294004,0.00429,-0.551379,-0.127494,0.061416,-0.109886
"21",-0.18133,-0.468761,-0.556393,-0.222841,-0.010838,0.107298
"22",0.291207,-0.096752,0.38249,0.058346,0.055877,0.083996
"23",-0.649167,-0.179154,-0.202737,-0.353944,-0.62588,-0.25603
"24",0.168273,-0.074421,-0.74945,-0.309194,-0.092467,0.068411
"25",0.085479,-0.119569,0.022196,0.351978,1.17397,-0.20111
"26",2.072315,0.321292,0.336973,0.049362,1.848872,0.284839
"27",0.101243,1.023299,-0.496778,-0.141648,-0.228954,-0.034802
"28",1.445383,-0.039732,-0.610508,-0.321034,0.308661,-0.199493
"29",-0.276559,-0.189652,0.242145,0.161031,2.2277,0.804785
"30",-0.02052,0.213228,0.163859,0.054887,-0.313965,0.806063
"31",-0.906777,-0.366809,0.425539,0.154983,0.527518,0.052989
"32",0.085368,0.187288,-0.174865,-0.258489,0.849907,-0.112833
"33",-0.675008,0.038183,0.076119,0.334269,-0.320488,0.003968
"34",0.622511,-0.232709,-0.120632,-0.187606,-0.005667,0.099921
"35",-0.615891,-0.289745,-0.425657,0.235801,0.184,0.235583
"36",0.0405,0.244735,-0.500807,-0.111716,0.723135,-0.055552
"37",0.165675,-0.227907,-0.031651,-0.07413,-0.276283,0.007743
"38",0.766897,0.128707,-1.248324,0.021696,0.103372,-0.277753
"39",1.035832,0.246847,-0.428809,-0.359862,0.517086,-0.105078
"40",2.00046,2.45212,-0.077032,0.540609,0.527497,0.16266
"41",-0.122063,1.035735,0.379199,-0.011525,0.917445,-0.379284
"42",0.021458,0.098074,0.062271,-0.460846,-0.36738,1.114143
"43",-0.141843,0.045454,0.686912,-0.066223,0.574582,-0.168577
"44",0.077062,1.657485,-0.1548,-0.15933,-0.283989,0.047316
"45",0.198105,0.082219,0.024288,-0.289897,0.035229,-0.063276
"46",0.033205,-0.099923,-0.899058,-0.201112,-0.119663,0.877282
"47",-0.000528,-0.14489,0.10176,0.024996,0.133759,-0.308045
"48",-0.098989,-0.029777,0.180287,-0.481053,-0.648041,-0.504989
"49",-0.300278,1.803662,0.612675,0.080063,0.12457,-0.306335
"50",0.748048,-0.31188,-0.245182,0.26572,-0.435211,-0.031022
"51",0.00823,0.126302,0.208008,-0.021201,0.240115,0.370333
"52",-0.413064,0.350613,-0.373696,0.037042,0.706755,-0.064674
"53",-0.302366,1.102836,0.515974,-0.201637,0.35197,-0.063323
"54",-0.199423,1.293475,-0.052236,-0.027684,0.961517,-0.352652
"55",-0.259627,-0.168016,-0.551369,-0.347577,0.007325,-0.058408
"56",-0.362686,0.778547,-0.598367,0.040305,0.146056,-0.258042
"57",-0.212705,0.026775,0.747846,-0.265627,0.947853,0.056867
"58",-0.105291,0.179861,-0.406346,-0.224959,0.13228,0.341963
"59",0.110979,0.02888,-0.140589,0.051062,-0.07877,-0.067509
"60",-0.168623,0.044679,-0.74789,-0.302379,-0.184659,-0.572801
"61",-0.082982,0.040098,0.044522,0.037252,-0.644173,0.023831
"62",0.282353,0.017859,0.424876,0.009867,0.301603,1.342294
"63",0.486207,0.292107,-0.184372,-0.281875,0.877992,-0.329393
"64",0.210464,1.343941,0.136865,-0.39738,0.249225,-0.607127
"65",0.046473,0.523293,-0.564359,-0.278953,-0.20725,-0.175994
